score,number,rank
232,62,134084
231,45,134129
230,49,134178
229,44,134222
228,38,134260
227,44,134304
226,38,134342
225,48,134390
224,43,134433
223,41,134474
222,43,134517
221,38,134555
220,46,134601
219,37,134638
218,27,134665
217,41,134706
216,23,134729
215,32,134761
214,27,134788
213,29,134817
212,29,134846
211,25,134871
210,20,134891
209,19,134910
208,17,134927
207,14,134941
206,23,134964
205,8,134972
204,17,134989
203,14,135003
202,26,135029
201,18,135047
200,17,135064
199,11,135075
198,9,135084
197,15,135099
196,13,135112
195,14,135126
194,16,135142
193,8,135150
192,9,135159
191,12,135171
190,8,135179
189,10,135189
188,10,135199
187,7,135206
186,7,135213
185,4,135217
184,5,135222
183,4,135226
182,7,135233
181,6,135239
180,5,135244
179,6,135250
178,5,135255
177,7,135262
176,4,135266
175,5,135271
174,4,135275
173,6,135281
172,4,135285
171,4,135289
170,2,135291
169,5,135296
168,2,135298
167,2,135300
166,4,135304
165,4,135308
164,4,135312
163,4,135316
162,6,135322
161,2,135324
160,3,135327
159,2,135329
158,1,135330
157,2,135332
156,2,135334
155,5,135339
154,1,135340
153,2,135342
152,5,135347
151,3,135350
150,2,135352
0-149,0,135352
