batch,first,second,inst_code,inst,major_code,major,plan_num
本科提前批,物理,地,0511,华中师范大学(0511),27,地理科学,2
本科提前批,物理,地,JV25,空军航空大学(JV25),04,目标工程,1
本科提前批,物理,地,J025,空军航空大学(J025),01,侦察情报,1
本科提前批,物理,地,J025,空军航空大学(J025),02,侦察情报,4
本科提前批,物理,地,J025,空军航空大学(J025),03,目标工程,2
本科提前批,物理,地,0718,陕西师范大学(0718),0X,地理科学,2
本科提前批,物理,化和生,X006,香港城市大学(X006),05,赛马会动物医学及生命科学院,1
本科提前批,物理,化,0018,北京电子科技学院(0018),01,密码科学与技术,2
本科提前批,物理,化,0018,北京电子科技学院(0018),02,信息安全,2
本科提前批,物理,化,0018,北京电子科技学院(0018),03,计算机科学与技术,3
本科提前批,物理,化,0018,北京电子科技学院(0018),04,网络空间安全,2
本科提前批,物理,化,0018,北京电子科技学院(0018),05,电子信息工程,2
本科提前批,物理,化,0018,北京电子科技学院(0018),06,通信工程,2
本科提前批,物理,化,P018,北京电子科技学院(P018),0D,网络空间安全,1
本科提前批,物理,化,0006,北京航空航天大学(0006),1B,飞行技术,10
本科提前批,物理,化,0167,渤海大学(0167),48,航海技术,84
本科提前批,物理,化,0167,渤海大学(0167),49,轮机工程,58
本科提前批,物理,化,0618,重庆交通大学(0618),17,轮机工程,3
本科提前批,物理,化,0618,重庆交通大学(0618),18,航海技术,3
本科提前批,物理,化,0618,重庆交通大学(0618),19,船舶电子电气工程,3
本科提前批,物理,化,0151,大连海事大学(0151),A1,航海技术,70
本科提前批,物理,化,0151,大连海事大学(0151),A2,轮机工程,92
本科提前批,物理,化,0151,大连海事大学(0151),A3,船舶电子电气工程,18
本科提前批,物理,化,0158,大连海洋大学(0158),B4,航海技术,76
本科提前批,物理,化,0158,大连海洋大学(0158),B5,轮机工程,75
本科提前批,物理,化,0145,东北大学(0145),1B,数学类,10
本科提前批,物理,化,0145,东北大学(0145),1C,应用物理学,5
本科提前批,物理,化,0145,东北大学(0145),1F,化学类,20
本科提前批,物理,化,0145,东北大学(0145),1G,工科试验班,50
本科提前批,物理,化,0145,东北大学(0145),1H,智能采矿工程,10
本科提前批,物理,化,0145,东北大学(0145),1J,工科试验班,40
本科提前批,物理,化,0145,东北大学(0145),1K,材料类,35
本科提前批,物理,化,0145,东北大学(0145),1L,材料科学与工程,10
本科提前批,物理,化,0145,东北大学(0145),1U,生物医学工程,50
本科提前批,物理,化,0145,东北大学(0145),1W,生物工程类,30
本科提前批,物理,化,0145,东北大学(0145),F1,采矿工程,10
本科提前批,物理,化,0200,东北师范大学(0200),A6,数学与应用数学,9
本科提前批,物理,化,0200,东北师范大学(0200),A7,教育技术学,6
本科提前批,物理,化,0200,东北师范大学(0200),A8,物理学,5
本科提前批,物理,化,0200,东北师范大学(0200),A9,化学,7
本科提前批,物理,化,0200,东北师范大学(0200),AA,生物科学,5
本科提前批,物理,化,0200,东北师范大学(0200),AB,地理科学,7
本科提前批,物理,化,0566,广东海洋大学(0566),39,航海技术,4
本科提前批,物理,化,0566,广东海洋大学(0566),40,轮机工程,2
本科提前批,物理,化,0566,广东海洋大学(0566),82,船舶电子电气工程,2
本科提前批,物理,化,1106,广州航海学院(1106),03,航海技术,1
本科提前批,物理,化,1106,广州航海学院(1106),04,轮机工程,1
本科提前批,物理,化,1106,广州航海学院(1106),05,船舶电子电气工程,1
本科提前批,物理,化,J002,国防科技大学(J002),19,材料科学与工程,1
本科提前批,物理,化,J002,国防科技大学(J002),20,电子信息工程,6
本科提前批,物理,化,J002,国防科技大学(J002),21,电子科学与技术,1
本科提前批,物理,化,J002,国防科技大学(J002),22,通信工程,5
本科提前批,物理,化,J002,国防科技大学(J002),23,微电子科学与工程,1
本科提前批,物理,化,J002,国防科技大学(J002),24,光电信息科学与工程,5
本科提前批,物理,化,J002,国防科技大学(J002),25,信息工程,1
本科提前批,物理,化,J002,国防科技大学(J002),26,集成电路设计与集成系统,1
本科提前批,物理,化,J002,国防科技大学(J002),27,海洋信息工程,2
本科提前批,物理,化,J002,国防科技大学(J002),28,计算机科学与技术,3
本科提前批,物理,化,J002,国防科技大学(J002),29,软件工程,2
本科提前批,物理,化,J002,国防科技大学(J002),30,网络工程,2
本科提前批,物理,化,J002,国防科技大学(J002),31,信息安全,1
本科提前批,物理,化,J002,国防科技大学(J002),32,物联网工程,2
本科提前批,物理,化,J002,国防科技大学(J002),33,智能科学与技术,1
本科提前批,物理,化,J002,国防科技大学(J002),34,网络空间安全,2
本科提前批,物理,化,J002,国防科技大学(J002),35,导航工程,1
本科提前批,物理,化,J002,国防科技大学(J002),36,航空航天类,8
本科提前批,物理,化,J002,国防科技大学(J002),37,武器系统与工程,1
