score,number,rank
672,12,12
668,2,14
667,2,16
666,2,18
665,4,22
664,5,27
663,1,28
662,9,37
661,5,42
660,2,44
659,9,53
658,5,58
657,7,65
656,8,73
655,7,80
654,9,89
653,12,101
652,12,113
651,13,126
650,15,141
649,15,156
648,16,172
647,10,182
646,17,199
645,21,220
644,20,240
643,23,263
642,19,282
641,21,303
640,23,326
639,26,352
638,22,374
637,24,398
636,26,424
635,27,451
634,32,483
633,28,511
632,37,548
631,37,585
630,31,616
629,35,651
628,34,685
627,43,728
626,46,774
625,43,817
624,48,865
623,41,906
622,49,955
621,45,1000
620,42,1042
619,46,1088
618,49,1137
617,46,1183
616,52,1235
615,42,1277
614,60,1337
613,49,1386
612,59,1445
611,57,1502
610,56,1558
609,57,1615
608,86,1701
607,56,1757
606,57,1814
605,63,1877
604,62,1939
603,68,2007
602,66,2073
601,58,2131
600,69,2200
599,77,2277
598,76,2353
597,75,2428
596,87,2515
595,68,2583
594,77,2660
593,74,2734
592,73,2807
591,75,2882
590,81,2963
589,69,3032
588,94,3126
587,86,3212
586,80,3292
585,82,3374
584,72,3446
583,81,3527
582,92,3619
581,93,3712
580,90,3802
579,89,3891
578,94,3985
577,93,4078
576,101,4179
575,103,4282
574,106,4388
573,101,4489
572,90,4579
571,111,4690
570,102,4792
569,98,4890
568,106,4996
567,130,5126
566,104,5230
565,131,5361
564,98,5459
563,102,5561
562,109,5670
561,119,5789
560,105,5894
559,111,6005
558,128,6133
557,117,6250
556,101,6351
555,126,6477
554,127,6604
553,148,6752
552,113,6865
551,126,6991
550,117,7108
549,130,7238
548,122,7360
547,128,7488
546,144,7632
545,135,7767
544,100,7867
543,118,7985
542,139,8124
541,120,8244
540,139,8383
539,123,8506
538,120,8626
537,113,8739
536,117,8856
535,136,8992
534,129,9121
533,148,9269
532,150,9419
531,138,9557
530,157,9714
529,137,9851
528,123,9974
527,150,10124
526,109,10233
525,156,10389
524,159,10548
523,129,10677
522,139,10816
521,127,10943
520,153,11096
519,159,11255
518,142,11397
517,140,11537
516,154,11691
515,124,11815
514,154,11969
513,183,12152
512,154,12306
511,168,12474
510,149,12623
509,179,12802
508,142,12944
507,157,13101
506,163,13264
505,186,13450
504,159,13609
503,159,13768
502,194,13962
501,150,14112
500,166,14278
499,171,14449
498,163,14612
497,135,14747
496,171,14918
495,170,15088
494,171,15259
493,168,15427
492,178,15605
491,176,15781
490,176,15957
489,178,16135
488,159,16294
487,179,16473
486,179,16652
485,176,16828
484,174,17002
483,204,17206
482,180,17386
481,165,17551
480,151,17702
479,150,17852
478,157,18009
477,157,18166
476,151,18317
475,177,18494
474,163,18657
473,167,18824
472,171,18995
471,186,19181
470,178,19359
469,174,19533
468,168,19701
467,185,19886
466,175,20061
465,183,20244
464,155,20399
463,166,20565
462,203,20768
461,183,20951
460,162,21113
459,182,21295
458,182,21477
457,185,21662
456,190,21852
455,174,22026
454,174,22200
453,179,22379
452,167,22546
451,171,22717
450,170,22887
449,176,23063
448,184,23247
447,194,23441
446,193,23634
445,183,23817
444,206,24023
443,192,24215
442,195,24410
441,169,24579
440,162,24741
439,175,24916
438,181,25097
437,197,25294
436,190,25484
435,196,25680
434,176,25856
433,193,26049
432,166,26215
431,175,26390
430,176,26566
429,206,26772
428,179,26951
427,168,27119
426,166,27285
425,181,27466
424,200,27666
423,176,27842
422,179,28021
421,182,28203
420,167,28370
419,203,28573
418,192,28765
417,175,28940
416,182,29122
415,176,29298
414,190,29488
413,178,29666
412,190,29856
411,175,30031
410,200,30231
409,163,30394
408,185,30579
407,190,30769
406,187,30956
405,189,31145
404,168,31313
403,202,31515
402,153,31668
401,184,31852
400,201,32053
399,169,32222
398,180,32402
397,170,32572
396,168,32740
395,182,32922
394,180,33102
393,170,33272
392,207,33479
391,190,33669
390,154,33823
389,189,34012
388,188,34200
387,159,34359
386,180,34539
385,191,34730
384,175,34905
383,183,35088
382,160,35248
381,193,35441
380,173,35614
379,164,35778
378,168,35946
377,159,36105
376,173,36278
375,183,36461
374,141,36602
373,166,36768
372,168,36936
371,186,37122
370,187,37309
369,171,37480
368,167,37647
367,169,37816
366,162,37978
365,153,38131
364,162,38293
363,178,38471
362,143,38614
361,199,38813
360,158,38971
359,165,39136
358,157,39293
357,146,39439
356,148,39587
355,142,39729
354,169,39898
353,170,40068
352,167,40235
351,162,40397
350,134,40531
349,168,40699
348,144,40843
347,142,40985
346,152,41137
345,162,41299
344,139,41438
343,146,41584
342,153,41737
341,132,41869
340,118,41987
339,131,42118
338,126,42244
337,148,42392
336,112,42504
335,153,42657
334,121,42778
333,151,42929
332,131,43060
331,119,43179
330,133,43312
329,137,43449
328,113,43562
327,143,43705
326,139,43844
325,161,44005
324,119,44124
323,117,44241
322,115,44356
321,134,44490
320,129,44619
319,113,44732
318,128,44860
317,124,44984
316,110,45094
315,142,45236
314,122,45358
313,90,45448
312,122,45570
311,117,45687
310,106,45793
309,94,45887
308,126,46013
307,120,46133
306,94,46227
305,97,46324
304,115,46439
303,103,46542
302,98,46640
301,88,46728
300,111,46839
299,102,46941
298,114,47055
297,79,47134
296,106,47240
295,78,47318
294,92,47410
293,96,47506
292,101,47607
291,77,47684
290,97,47781
289,97,47878
288,83,47961
287,93,48054
286,103,48157
285,88,48245
284,91,48336
283,94,48430
282,75,48505
281,82,48587
280,75,48662
279,68,48730
278,76,48806
277,69,48875
276,71,48946
275,79,49025
274,75,49100
273,72,49172
272,71,49243
271,79,49322
270,66,49388
269,77,49465
268,65,49530
267,54,49584
266,79,49663
265,80,49743
264,63,49806
263,55,49861
262,56,49917
261,83,50000
260,58,50058
259,60,50118
258,44,50162
257,72,50234
256,53,50287
255,61,50348
254,57,50405
253,49,50454
252,50,50504
251,47,50551
250,58,50609
249,48,50657
248,52,50709
247,50,50759
246,39,50798
245,51,50849
244,32,50881
243,40,50921
242,41,50962
241,46,51008
240,43,51051
239,47,51098
238,37,51135
237,50,51185
236,25,51210
235,37,51247
234,33,51280
233,36,51316
232,35,51351
231,41,51392
230,22,51414
229,36,51450
228,29,51479
227,34,51513
226,36,51549
225,25,51574
224,32,51606
223,31,51637
222,31,51668
221,28,51696
220,22,51718
219,35,51753
218,28,51781
217,27,51808
216,22,51830
215,31,51861
214,30,51891
213,23,51914
212,25,51939
211,16,51955
210,24,51979
209,11,51990
208,14,52004
207,18,52022
206,11,52033
205,16,52049
204,16,52065
203,20,52085
202,13,52098
201,16,52114
200,17,52131
199,12,52143
198,8,52151
197,8,52159
196,10,52169
195,13,52182
194,14,52196
193,12,52208
192,9,52217
191,6,52223
190,9,52232
189,15,52247
188,5,52252
187,7,52259
186,8,52267
185,12,52279
184,9,52288
183,8,52296
182,9,52305
181,8,52313
180,5,52318
179,7,52325
178,10,52335
177,8,52343
176,4,52347
175,6,52353
174,6,52359
172,7,52366
171,7,52373
170,6,52379
169,6,52385
168,2,52387
167,5,52392
166,5,52397
165,3,52400
164,4,52404
163,4,52408
162,3,52411
161,3,52414
160,8,52422
159,3,52425
158,3,52428
156,3,52431
155,5,52436
154,1,52437
153,5,52442
152,4,52446
151,4,52450
150,3,52453
