inst_coed,inst,major_code,major,min_scroe
0006,北京航空航天大学,02,理科试验班类(华罗庚数学拔尖计划)(数学与应用数学),665
0247,同济大学,47,工科试验班(国豪精英班),665
0284,南京大学,07,理科试验班(数理科学类)(数学与应用数学、信息与计算科学、统计学、物理学、应用物理学、声学、天文学、空间科学与技术、大气科学、应用气象学),665
0284,南京大学,S1,技术科学试验班[数字经济、智能科学与技术(智能化软件、集成电路)],665
0358,中国科学技术大学,H1,理科试验班类[数学类(华罗庚数学科技英才班)、物理学类(严济慈物理科技英才班)、空间科学与技术(赵九章现代地球和空间科技英才班)、数学类、物理学类、空间科学与技术、统计学(统计与金融)],665
0358,中国科学技术大学,H3,工科试验班[计算机类(华夏计算机科技英才班)、电子信息类(信息科技英才班)、电子信息类(网络空间科技英才班)、电子信息类(集成电路科技英才班)、力学类(钱学森力学科技英才班)、计算机类、电子信息类、理论与应用力学(航空航天、力学与先进智能材料设计交叉方向)、机械设计制造及其自动化(机器人、智能制造、精密测量、遥感仪器方向)、能源与动力工程(新能源、航空航天热管理、先进能源材料方向)、安全工程(火灾科学、公共安全、应急处置与管理方向)],665
4430,中国科学院大学,06,生物科学,665
4430,中国科学院大学,0F,环境科学,665
9246,复旦大学医学院,67,基础医学(拔尖学生培养基地),665
0027,北京师范大学,1R,数学类[数学与应用数学、统计学、数学与应用数学(励耘实验班)],664
0272,上海财经大学,01,会计学,664
4430,中国科学院大学,03,化学,664
0006,北京航空航天大学,10,工科试验班类(信息类)(计算机科学与技术、人工智能、虚拟现实技术、智能感知工程、网络空间安全、电子信息工程、通信工程、电子科学与技术、集成电路设计与集成系统、光电信息科学与工程、电磁场与无线技术、交通运输、软件工程、自动化、电气工程及其自动化、机器人工程、信息对抗技术、信息安全、微电子科学与工程、测控技术与仪器、探测制导与控制技术、遥感科学与技术),663
0025,首都医科大学,01,临床医学(阶平班),663
0213,哈尔滨工业大学,07,工科试验班(英才本硕博连读)(工程力学、飞行器设计与工程、电子科学与技术、微电子科学与工程、自动化、机器人工程、智能装备与系统、电气工程及其自动化、电子信息工程、通信工程、计算机科学与技术、数据科学与大数据技术、人工智能、机械设计制造及其自动化、材料科学与工程、焊接技术与工程、能源与动力工程、新能源科学与工程、测控技术与仪器、智能感知工程、土木工程、建筑学、智慧建筑与建造、环境生态工程、道路桥梁与渡河工程、材料成型及控制工程、高分子材料与工程、化学工程与工艺、计算金融),663
0284,南京大学,19,临床医学(5+3一体化),663
9001,北京大学医学部,0A,医学技术类(医学检验技术、医学影像技术),663
0006,北京航空航天大学,08,工科试验班类(医工交叉试验班)(生物医学工程、智能医学工程),662
0034,中央财经大学,04,金融学类(金融学、金融工程、金融科技),662
0533,中南大学,83,临床医学(八年制),662
0558,中山大学,0Z,临床医学(八年制),662
0610,四川大学,74,口腔医学(五年),662
0247,同济大学,J1,数学与应用数学(数学拔尖学生培养),661
0486,武汉大学,D4,临床医学(八年制),661
8213,哈尔滨工业大学(深圳),01,计算机类(计算机科学与技术),661
0006,北京航空航天大学,07,理科试验班类(国际卓越工程师试验班)(数学与应用数学、信息与计算科学、应用物理学、工程力学),660
0006,北京航空航天大学,11,理科试验班类(数学与应用数学、信息与计算科学、统计学、信息安全、应用物理学、核物理、物理学、环境工程、空间科学与技术、化学、应用化学、化学生物学),660
0025,首都医科大学,04,口腔医学(5+3一体化),660
0247,同济大学,04,工科试验班(建筑规划景观与设计类)(建筑学、历史建筑保护工程、城乡规划、风景园林、城市设计、工业设计),660
0272,上海财经大学,08,金融学(中外合作办学)(银行与国际金融),660
0487,华中科技大学,0P,计算机类(计算机学院)(计算机科学与技术、物联网工程、数据科学与大数据技术),660
0247,同济大学,08,工科试验班(信息类)(测绘工程、计算机科学与技术、信息安全、数据科学与大数据技术、电子信息工程、电气工程及其自动化、自动化、通信工程、人工智能、微电子科学与工程、软件工程、光电信息科学与工程),659
0286,东南大学,0F,工科试验班(吴健雄班)[信息工程(等4年制理工科类所有专业)],659
0486,武汉大学,C1,理科试验班(弘毅学堂)(数学与应用数学、物理学、化学、生物科学、地理科学),659
0487,华中科技大学,0N,电子信息类(光电学院)(光电信息科学与工程、集成电路设计与集成系统、电子科学与技术、微电子科学与工程),659
J002,国防科技大学,08,计算机科学与技术(天河拔尖班),659
0006,北京航空航天大学,09,工科试验班类(航空H航天类)(智能飞行器技术、空天智能电推进技术、飞行器控制与信息工程、智能制造工程、飞行器设计与工程、飞行器动力工程、材料科学与工程、纳米材料与技术、能源与动力工程、工程力学、飞行器环境与生命保障工程、机械工程、飞行器制造工程、微机电系统工程、工业设计、机器人工程、生物医学工程、车辆工程、交通运输、飞行器适航技术、土木工程、飞行器质量与可靠性、安全工程、探测制导与控制技术、无人驾驶航空器系统工程),658
0007,北京理工大学,02,工科试验班(徐特立英才班)(飞行器设计与工程、飞行器动力工程、航空航天工程、武器发射工程、探测制导与控制技术、工程力学、武器系统与工程、弹药工程与爆炸技术、特种能源技术与工程、安全工程、机械电子工程、车辆工程、装甲车辆工程、能源与动力工程、机械工程、工业工程、智能制造工程、光电信息科学与工程、测控技术与仪器、自动化、电气工程及其自动化、计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、网络空间安全、电子信息工程、电子科学与技术、通信工程、信息对抗技术、智能无人系统技术、智能感知工程、微电子科学与,658
0213,哈尔滨工业大学,10,工科试验班(智能装备)(机械设计制造及其自动化、机械电子工程、飞行器制造工程、工业工程、机器人工程、材料科学与工程、材料物理、材料成型及控制工程、焊接技术与工程、电子封装技术、能源与动力工程、飞行器动力工程、新能源科学与工程、精密仪器、智能感知工程、测控技术与仪器、增材制造工程),658
0247,同济大学,09,医学试验班[临床医学(本博贯通培养)、临床医学、口腔医学、生物技术、生物信息学],658
0034,中央财经大学,34,金融学(国际金融与公司理财),657
0247,同济大学,69,临床医学(5+3一体化),657
0486,武汉大学,B3,数学类(含数学国家拔尖学生培养基地)(数学与应用数学、信息与计算科学、统计学、数据科学与大数据技术),657
0487,华中科技大学,0M,电子信息类(电信学院)(电子信息工程、通信工程、电磁场与无线技术),657
0698,西安交通大学,1D,智能制造工程(钱学森班本硕博),657
0006,北京航空航天大学,1A,工科试验班类(国际合作专项)(飞行器动力工程),656
0247,同济大学,07,工科试验班(智能化制造与先进材料类)(新能源材料与器件、材料科学与工程、机械设计制造及其自动化、工业工程、能源与动力工程、智能制造工程、飞行器制造工程、建筑环境与能源应用工程),656
0272,上海财经大学,0C,经济学,656
0272,上海财经大学,0S,统计学类[统计学(实验班)、经济统计学(金融统计与风险管理)、数据科学与大数据技术(理学)],656
0486,武汉大学,E8,计算机类(计算机学院)(计算机科学与技术、人工智能、软件工程),656
0487,华中科技大学,0G,电气工程及其自动化,656
0487,华中科技大学,0W,自动化类(人工智能、自动化),656
0698,西安交通大学,2A,工科试验班(智能电气专业预选)(电气工程及其自动化、测控技术与仪器),656
0025,首都医科大学,02,临床医学(5+3一体化),655
0034,中央财经大学,08,精算学,655
0247,同济大学,46,技术科学试验班[交通工程、交通运输、车辆工程(汽车)、车辆工程],655
0269,华东师范大学,85,数据科学与大数据技术,655
0698,西安交通大学,2B,工科试验班(智能技术与自动化专业预选)(信息工程、电子科学与技术、微电子科学与工程、物联网工程、计算机科学与技术、自动化、软件工程、网络空间安全、生物医学工程),655
0055,南开大学,11,金融学类(金融学、保险学、金融工程、投资学、精算学),654
0055,南开大学,18,理科试验班(数理科学与大数据)(数学与应用数学、信息与计算科学、物理学、光电信息科学与工程、应用物理学、数据科学与大数据技术、统计学),654
0610,四川大学,68,临床医学(五年),654
0698,西安交通大学,1J,工程力学(国家拔尖计划),654
8213,哈尔滨工业大学(深圳),02,电子信息类(通信工程、光电信息科学与工程),654
8213,哈尔滨工业大学(深圳),04,自动化类(自动化),654
9246,复旦大学医学院,74,医学试验班(含预防、药学、公管)(预防医学、药学、公共事业管理),654
0013,北京邮电大学,02,计算机类(元班)(计算机科学与技术、网络空间安全),653
0053,中国政法大学,03,法学(法学人才培养模式改革实验班),653
0247,同济大学,03,经济管理试验班(工程管理、信息管理与信息系统、物流管理、市场营销、会计学、行政管理、国际经济与贸易、金融学),653
0486,武汉大学,B8,计算机类(国家网络安全学院)(信息安全、网络空间安全),653
0486,武汉大学,E6,临床医学(五加三一体化),653
0610,四川大学,93,临床医学(卓越检验医师试验班),653
0698,西安交通大学,2F,工科试验班(越杰计划机类专业预选)(能源与动力工程、新能源科学与工程、核工程与核技术、环境工程、人居环境科学与技术、化学工程与工艺、过程装备与控制工程、机械工程、智能制造工程、工业设计、车辆工程、测控技术与仪器、飞行器设计与工程、材料科学与工程、工程力学、飞行器动力工程),653
8213,哈尔滨工业大学(深圳),11,经济学类(经济学),653
8213,哈尔滨工业大学(深圳),13,数学类(数据科学与大数据技术),653
0007,北京理工大学,04,工科试验班(宇航与机电类)(飞行器设计与工程、飞行器动力工程、航空航天工程、武器发射工程、探测制导与控制技术、工程力学、武器系统与工程、弹药工程与爆炸技术、特种能源技术与工程、安全工程、机械电子工程、智能无人系统技术),652
0027,北京师范大学,1S,物理学类[物理学、计算机科学与技术、人工智能、信息管理与信息系统、天文学、物理学(励耘实验班)],652
0247,同济大学,05,工科试验班(土木与环境类)(土木工程、地质工程、智能建造、环境工程、给排水科学与工程、环境科学),652
0269,华东师范大学,76,数学与应用数学,652
