inst_code,inst,major_code,major,min_score
0003,清华大学,1B,文科试验班类(通用基础类)[社会学(等专业)],675
0001,北京大学,17,文科试验班类(文科基础类专业)(中国语言文学类),669
0002,中国人民大学,08,法学,668
0002,中国人民大学,G4,金融学类(金融学、保险学、信用管理),666
0246,复旦大学,19,经济学类(拔尖班)[经济学(数理经济方向拔尖项目)、经济学(国际项目UIPE)、国际经济与贸易(大数据、国际贸易双学位项目)、金融学],665
0002,中国人民大学,G2,经济学类(经济学、国民经济管理、能源经济、国际经济与贸易),664
0246,复旦大学,11,人文科学试验班(拔尖学生培养基地)(中国语言文学类、历史学类、哲学类),662
0248,上海交通大学,23,法学试验班(含双学士学位项目)(法学),662
0246,复旦大学,14,社会科学试验班(政治学与行政学、国际政治、行政管理、社会学、社会工作),661
0335,浙江大学,2C,社会科学试验班(数字法治卓越班本研衔接培养项目)(法学),661
0002,中国人民大学,11,"人力资源管理(经管交叉试验班,含法学与劳动治理实验班)",661
0002,中国人民大学,G3,"工商管理类(数智化方向,含双学位项目)(工商管理、财务管理、会计学、市场营销、贸易经济)",661
9001,北京大学医学部,08,英语(医学英语),660
0002,中国人民大学,07,新闻传播学类(新闻学、广播电视学、广告学、传播学、国际新闻与传播),660
0002,中国人民大学,G1,社会科学试验班(管理学科类)(资源与环境经济学、农林经济管理、农村区域发展、行政管理、城市管理、土地资源管理、信息资源管理、档案学),660
0002,中国人民大学,01,人文科学试验班(哲学、宗教学、伦理学、汉语言文学、汉语言、历史学、世界史、考古学、中国古典学、艺术管理),659
0002,中国人民大学,10,国际政治,659
0053,中国政法大学,03,法学(法学人才培养模式改革实验班),659
0027,北京师范大学,1Q,社会科学试验班[经济学(励耘实验班)、工商管理(数字企业管理实验班)、金融学、会计学、国际经济与贸易、法学(卓越实验班)、人力资源管理、公共事业管理、社会学(社会学、心理学双学士学位人才培养项目)],658
0335,浙江大学,2F,社会科学试验班(数字公共治理荣誉项目班)(行政管理),658
0486,武汉大学,C6,法学,657
0486,武汉大学,G6,文科试验班类(弘毅学堂)(汉语言文学、历史学、哲学、法学、新闻学、心理学、国际经济与贸易、金融学、经济学),656
0053,中国政法大学,04,法学(涉外法治人才培养实验班),656
0284,南京大学,02,人文科学试验班[哲学、汉语国际教育、新闻学、广播电视学、广告学、历史学、考古学、考古学(文物鉴定方向)],655
0284,南京大学,04,社会科学试验班(法学、社会学类、公共管理类、图书馆学、档案学、编辑出版学),655
0284,南京大学,05,经济管理试验班(数智经济与管理)[经济学、金融学、保险学、经济学(产业经济学方向)、工商管理类、国际经济与贸易、财政学],655
0027,北京师范大学,1N,人文科学试验班[哲学、汉语言文学、英语、传播学、汉语言文学(励耘实验班)、哲学(励耘实验班)],654
0248,上海交通大学,R2,人文科学试验班[汉语言文学(中外文化交流)],654
0248,上海交通大学,R3,人文科学试验班(行政管理),654
0053,中国政法大学,83,法学(纪检、监察实验班),654
0335,浙江大学,1A,人文科学试验班(古典文献学、汉语言文学、哲学、历史学、文物与博物馆学、考古学),653
0335,浙江大学,2A,社会科学试验班(含数字金融双学士学位项目)(经济学、财政学、金融学、国际经济与贸易、教育学、会计学、工商管理、社会学、农林经济管理、行政管理、劳动与社会保障、土地资源管理、法学),653
0248,上海交通大学,R4,人文科学试验班(传播学),651
0486,武汉大学,A6,经济学类[经济学(基地班)、国际经济与贸易、金融学(含国际金融试验班)、保险学(含精算试验班)、财政学、金融工程],651
0384,厦门大学,12,会计学(含会计、财务、审计),651
0335,浙江大学,1B,新闻传播学类(新闻学、传播学),651
0272,上海财经大学,04,金融学,650
0486,武汉大学,A1,中国语言文学类(含中国语言文学国家拔尖学生培养基地)(汉语言文学、汉语国际教育),650
0034,中央财经大学,06,工商管理类(会计学院)(会计学、财务管理),650
0384,厦门大学,05,法学类(法学),649
0558,中山大学,0B,法学,649
0034,中央财经大学,03,金融学(金融学、金融学北京外国语大学英语专业联培),649
0272,上海财经大学,01,会计学,648
0053,中国政法大学,02,法学,648
0269,华东师范大学,21,汉语言文学,647
0276,华东政法大学,01,法学(民商法律),647
0486,武汉大学,A2,历史学类(历史学、世界史、考古学),647
0486,武汉大学,C4,新闻传播学类(含卓越新闻传播人才教育培养计划)(新闻学、广播电视学、广告学、传播学),647
0384,厦门大学,09,经济学类(金融学、财政学、税收学、国际经济与贸易、经济学),647
